"ind","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","Population","population"
"SIB",0.0312606,-0.0026004,0.024142,0.023669,-0.0497671,0.165944,0.0460368,0.12204,0.189534,-0.00511702,-0.0771506,-0.0370044,-0.0148688,0.0211105,-0.00844996,0.00111617,0.054524,0.0216412,0.0138557,0.00799367,"SIB","SIB"
"SIB",0.0314828,-0.0106788,0.0234327,0.0206391,-0.0419547,0.179057,0.0555233,0.126663,0.163087,-0.0630986,-0.0974468,-0.0321843,-0.011223,0.00688985,-0.0263374,-0.0278455,0.0378173,-0.00755928,-0.00547007,0.0222747,"SIB","SIB"
"SIB",0.034441,-0.0198898,-0.024214,0.0150185,0.0611851,0.0223984,-0.00780263,0.0673614,-0.0187326,0.0734278,-0.113251,0.0442208,0.00312752,-0.0090445,0.103663,-0.0126667,-0.110486,-0.124309,0.016803,0.0295291,"SIB","SIB"
"SIB",0.0330499,-0.0126308,-0.0144264,0.00534544,0.0470148,0.0312527,0.00895186,0.0892213,0.00768211,0.0831284,-0.0669336,0.0705915,-0.0232938,-0.0231149,0.0962205,-0.0101484,-0.110971,-0.080133,-0.0159892,0.0404756,"SIB","SIB"
"SIB",0.0337088,-0.0191949,-0.0289161,0.0322802,0.05764,0.0519763,0.0216826,0.0782224,-0.0315933,0.0978449,-0.112156,0.0809069,-5.63719e-05,-0.00940451,0.0976244,-0.0112134,-0.137774,-0.10408,-0.0225357,0.045242,"SIB","SIB"
"SIB",0.0345526,-0.00603893,9.21627e-05,0.0131474,0.0603961,0.0425227,0.049124,-0.159551,0.0897166,0.0346346,-0.0549913,0.00884757,-0.0565959,-0.00111702,0.034112,-0.0332603,0.0361066,0.00361742,-0.00576159,0.0277215,"SIB","SIB"
"SIB",0.0329286,-0.0055766,0.00241916,0.0296478,0.0917059,0.0532119,0.0671582,-0.211833,0.0379966,-0.0285593,-0.038249,0.00310068,0.0243817,0.00298987,0.00620522,0.0324787,-0.000602725,0.00437608,0.0520189,0.0215439,"SIB","SIB"
"SIB",0.032497,0.00972501,0.00101388,0.040044,0.0814423,0.0810702,0.0597935,-0.247915,0.041826,-0.0499983,-0.0235991,-0.0237753,0.0126433,0.00842853,0.0107513,0.000625377,-0.00961925,-0.0332563,0.0236933,0.0268335,"SIB","SIB"
"SIB",0.0325665,-0.00506353,0.0089794,0.0296179,0.0934252,0.0688612,0.0664482,-0.24183,0.0689578,-0.0224314,-0.057265,0.00105918,-0.0122319,-0.00351581,0.0361752,-0.01897,0.0253962,-0.0167662,0.023085,0.0376852,"SIB","SIB"
"SIB",0.0338099,-0.00623611,-0.00384229,0.0497305,0.0986934,0.0566437,0.0667843,-0.274235,0.0992342,-0.00221272,-0.072047,0.0180049,-0.031003,-0.00415746,0.0199566,-0.00389224,0.0046441,-0.0181152,0.0104407,0.040722,"SIB","SIB"
"SIB",0.032623,-0.00121446,-0.0172348,0.0156735,0.0262728,0.0259968,0.0176349,0.0121892,0.0107015,0.00497029,0.00934334,0.0193213,0.00430552,-0.00366347,-0.00622603,0.0411645,-0.0123975,-0.0109053,-0.00141515,-0.00997663,"SIB","SIB"
"SIB",0.0318936,-0.011052,0.00485622,0.0224335,0.0152052,-0.00213981,-0.00535421,0.00527781,0.0276735,-0.0140536,0.00778751,-0.0103493,0.0186637,-0.00205367,-0.00584774,0.0304718,-0.0218445,-0.000400172,-0.0103431,-0.0182279,"SIB","SIB"
"SIB",0.0323129,-0.00674263,-0.00425059,0.018022,0.0148502,0.00399938,0.00073703,0.00412596,0.0356941,-0.0067536,0.0038464,0.00407834,0.0156749,0.000332882,-0.0107809,0.0432448,-0.0205489,-0.00398896,-0.00283605,-0.0114674,"SIB","SIB"
"SIB",0.0326484,-0.00930968,-0.00267288,0.0130291,0.0260773,0.00676421,-0.00462843,0.011112,0.0220974,-0.01838,0.00684815,0.0110157,0.0143039,0.00958891,-0.00859346,0.0418256,-0.0223575,0.00300431,-0.000616963,-0.0212341,"SIB","SIB"
"SIB",0.0343364,-0.0147229,-0.0168758,-0.00840134,0.0257097,-0.0444035,-0.0287618,0.016672,0.0348969,-0.0214537,-0.0284994,0.021049,0.0119476,0.00601449,0.0122022,-0.0160343,-0.00167951,-0.00336959,0.0127345,0.0362873,"SIB","SIB"
"SIB",0.0323768,-0.0130759,-0.00338611,-0.00465263,0.0121339,0.00212029,-0.00803514,0.005842,-0.00774793,-0.00981823,-0.00498294,0.0260124,-0.0277486,-0.0348126,0.00352834,-0.0172904,-0.00923733,-0.0228868,0.0191093,0.0206458,"SIB","SIB"
"SIB",0.0339255,-0.0240838,-0.0192078,-0.0158587,0.0294957,-0.00601194,-0.0154157,0.0145784,-0.0116458,-0.0254945,-0.0148923,0.0343181,-0.021905,-0.0155737,0.0085058,-0.0317622,-0.00318176,-0.0282744,0.0117934,0.0372837,"SIB","SIB"
"SIB",0.031365,-0.00493361,0.00391305,0.0482884,0.000423721,0.00544728,0.0363648,0.0149678,0.000632982,-0.0198472,0.0388051,-0.0132324,-0.019013,0.0647503,-0.0502935,0.0110383,-0.0736033,-0.00842644,-0.0205345,0.0217416,"SIB","SIB"
